prompt_name,keywords,prompt_content,prompt_source,language,task_type,Goal,Theme,career
2 or 3 sentences,Summarize article,"In 2 or 3 sentences, what are the main points one should remember from this news article?

Article: {{article}}",promptsource,English,summarization,Writing/Expression,summarization,news
tldr summary,TLDR,"Could you please generate a TLDR (Too Long Didn't Read) summary of the following news article?

Article: {{article}}",promptsource,English,writing report,Writing/Expression,summarization,news
news card view,Condense article,"Condense the article down to the essentials to present it in the form of short cards in mobile news apps:

{{article}}",promptsource,English,summarization,Writing/Expression,summarization,news
generate story,Generate a story,"Generate a story from key plot points:

{{highlights}}",promptsource,English,writing report,Writing/Expression,storytelling,education
sum in brief,Summarize article,Sum the following article in brief: {{article}},promptsource,English,summarization,Writing/Expression,summarization,all
news stock,Extract key points,"Extract key points from the article based on which the stock market could react:

{{article}}",promptsource,English,reading comprehension,Writing/Expression,finance,finance
spice up story,Write a storyline,"What details would you include in a storyline to make it more engaging and informative?

{{highlights}}",promptsource,English,writing report,Writing/Expression,storytelling,all
interrogative instruction after sentence and choices,Sentence completion,"Sentence: {{question_propmt}}

Candidate Answer Choices:

{{ answer_choices[loop.index - 1] }}. {{candidate}}

What's the best ending to finish the incomplete sentence above?",promptsource,English,multiple choice,Writing/Expression,cloze,all
affirmative instruction before sentence and choices,Cloze Question,"Complete the sentence below by choosing the best answer from a list of candidates.

Sentence: {{question_propmt}}

Candidate Answer Choices:

{{ answer_choices[loop.index - 1] }}. {{candidate}}",promptsource,English,multiple choice,Informational/Identification,cloze,all
affirmative instruction after sentence and choices,Complete the sentence,"Sentence: {{question_propmt}}

Candidate Answer Choices:

{{ answer_choices[loop.index - 1] }}. {{candidate}}

Complete the sentence by choosing the best answer from the candidates above.",promptsource,English,multiple choice,Informational/Identification,cloze,all
affirmative instruction between sentence and choices,Sentence completion,"Sentence: {{question_propmt}}

Complete the sentence above by choosing the best answer from the candidates below.

Candidate Answer Choices:

{{ answer_choices[loop.index - 1] }}. {{candidate}}",promptsource,English,multiple choice,Informational/Identification,cloze,all
interrogative instruction between sentence and choices,Question generation,"Here we have an incomplete sentence ""{{question_propmt}}"".

What would be the best answer choice to finish it?

Candidate Answer Choices:

{{ answer_choices[loop.index - 1] }}. {{candidate}}",promptsource,English,multiple choice,Informational/Identification,cloze,all
interrogative instruction before sentence and choices,Sentence completion,"What's the best ending to finish this incomplete sentence ""{{question_propmt}}""?

Candidate Answer Choices:

{{ answer_choices[loop.index - 1] }}. {{candidate}}",promptsource,English,multiple choice,Writing/Expression,cloze,all
question category,Sentence completion classification,"Sentence: {{question_propmt}}
Completion: {{ candidate_answers[correct_answer_idx] }}

Which of  {{', '.join([""Idioms"", ""Reference"", ""Polysemy"", ""Negation"", ""Quantitative"", "" or Others""])}} best describes the completed sentence?",promptsource,English,categorization,Informational/Identification,sentence completion,all
answer given question without options,Answer a question,"Answer the following question:
{{question}}",promptsource,English,closed-ended question,Informational/Identification,question answering,all
question to answer index,Multiple choice question,"Given the following options, what do you think is the correct answer to the question below:

{{question}}

Options:

- {{letter}}: {{t}}",promptsource,English,multiple choice,Informational/Identification,multiple choice,education
answer to question,Question generation,"Use the following options to predict a possible question for them:


- {{choices['text'][i]}}",promptsource,English,multiple choice,Prediction,multiple choice,all
topics from the sentence,Topic modeling,What are the topics in the sentence: {{target}},promptsource,English,topic extraction,Informational/Identification,topic classification,all
sentence to concepts,Extract key concepts,"We have the sentence: {{target}};
Extract all the key concepts:",promptsource,English,key concept extraction,Writing/Expression,key concepts,all
engagement question before,Who is more engaged,"{{context}}

Given the previous context, who do you think is more engaged in this conversation ({{ answer_choices[0] }}, {{ answer_choices[1] }}, or {{ answer_choices[2] }}):

- {{ utterance[""userId""] }}: {{ utterance[""text""] }}",promptsource,English,reading comprehension,Informational/Identification,personality,all
engagement bob interested,Context and utterance match,"{{context}}

Given the preceding context, do Bob's following utterances show that he was interested in the context?


- ""{{ utterance[""text""] }}"",",promptsource,English,closed-ended question,Informational/Identification,interest,all
engagement alice really,Conversation analysis,"context:

{{context}}

conversation:

- {{ utterance[""userId""] }}: {{ utterance[""text""] }}

Was Alice really into this conversation?",promptsource,English,conversation,Writing/Expression,conversation,all
engagement question after,Conversation engagement,"Context: {{context}}
Conversation:
{{ utterance[""userId""] }}: {{ utterance[""text""] }}

Given the previous context and conversation, who do you think is more engaged in this conversation ({{ answer_choices[0] }}, {{ answer_choices[1] }}, or {{ answer_choices[2] }}):",promptsource,English,closed-ended question,Social/Engagement,conversation,all
clarification needed,Clarification needed,"Given the request ""{{initial_request}}"", would a search system need clarification to answer it?",promptsource,English,closed-ended question,Informational/Identification,clarification,all
score give number,Clarification needed,"Can you give me a number from {{ answer_choices[0] }} to {{ answer_choices[3] }} that denotes how much the request ""{{initial_request}}"" needs clarification, where {{ answer_choices[0] }} means clarification absolutely not needed and {{ answer_choices[3] }} means clarification absolutely needed?",promptsource,English,closed-ended question,Clarification,clarification,all
